Wall time,Step,Value,train_set,train_size,growth_factor,run,tag
1600113711.0075192,5200,9.1845703125,libri,100,1.0,final,main_loss
1600114804.8348846,5264,32.63718795776367,libri,100,1.0,final,main_loss
1600115381.7070627,5300,13.24545669555664,libri,100,1.0,final,main_loss
1600116985.1132011,5400,24.256290435791016,libri,100,1.0,final,main_loss
1600118585.5971775,5500,22.923959732055664,libri,100,1.0,final,main_loss
1600120109.8955257,5593,34.32080841064453,libri,100,1.0,final,main_loss
1600120226.1330006,5600,18.56294059753418,libri,100,1.0,final,main_loss
1600121819.1541126,5700,37.17049789428711,libri,100,1.0,final,main_loss
1600123415.6634965,5800,36.85805892944336,libri,100,1.0,final,main_loss
1600125012.4400814,5900,9.908531188964844,libri,100,1.0,final,main_loss
1600125433.4776914,5922,43.61748504638672,libri,100,1.0,final,main_loss
1600126689.2446926,6000,25.13520812988281,libri,100,1.0,final,main_loss
1600128299.8250608,6100,34.84445953369141,libri,100,1.0,final,main_loss
1600129907.44642,6200,31.008995056152344,libri,100,1.0,final,main_loss
1600130780.7420044,6251,8.829686164855957,libri,100,1.0,final,main_loss
1600131557.3241565,6300,32.310863494873054,libri,100,1.0,final,main_loss
1600133124.040628,6400,35.085235595703125,libri,100,1.0,final,main_loss
1600134738.9772134,6500,8.324259757995605,libri,100,1.0,final,main_loss
1600136107.605323,6580,32.151683807373054,libri,100,1.0,final,main_loss
1600136423.6330516,6600,33.678497314453125,libri,100,1.0,final,main_loss
1600137998.5370035,6700,36.30198669433594,libri,100,1.0,final,main_loss
1600139625.1262355,6800,6.9540138244628915,libri,100,1.0,final,main_loss
1600141230.0096753,6900,31.8359375,libri,100,1.0,final,main_loss
1600141446.3233562,6909,28.64054870605469,libri,100,1.0,final,main_loss
1600142870.8711426,7000,7.551271438598633,libri,100,1.0,final,main_loss
1600144448.2872381,7100,29.18062973022461,libri,100,1.0,final,main_loss
1600146039.357023,7200,21.963117599487305,libri,100,1.0,final,main_loss
1600146731.8400195,7238,31.23841857910156,libri,100,1.0,final,main_loss
1600147728.8144586,7300,20.746124267578125,libri,100,1.0,final,main_loss
1600149325.4502218,7400,32.05794143676758,libri,100,1.0,final,main_loss
1600150907.7733755,7500,20.54389953613281,libri,100,1.0,final,main_loss
1600152088.1739936,7567,6.7109880447387695,libri,100,1.0,final,main_loss
1600152627.1311321,7600,35.02708053588867,libri,100,1.0,final,main_loss
1600154215.14181,7700,31.82099533081055,libri,100,1.0,final,main_loss
1600155806.5145032,7800,20.178272247314453,libri,100,1.0,final,main_loss
1600157394.349838,7896,44.09487533569336,libri,100,1.0,final,main_loss
1600157464.745359,7900,27.68640518188477,libri,100,1.0,final,main_loss
1600159079.7484882,8000,33.05736541748047,libri,100,1.0,final,main_loss
1600160656.7489126,8100,30.063676834106445,libri,100,1.0,final,main_loss
1600162250.3648882,8200,14.39889430999756,libri,100,1.0,final,main_loss
1600162720.0714905,8225,27.47351455688477,libri,100,1.0,final,main_loss
1600285674.4180198,100,366.0634765625,libri,100,2.0,final,main_loss
1600287203.8599749,200,434.2697448730469,libri,100,2.0,final,main_loss
1600288751.9852405,300,348.3721008300781,libri,100,2.0,final,main_loss
1600290345.0584242,400,268.11297607421875,libri,100,2.0,final,main_loss
1600291901.1267786,492,259.70620727539057,libri,100,2.0,final,main_loss
1600292023.9999778,500,85.35667419433594,libri,100,2.0,final,main_loss
1600293647.3657758,600,242.80908203125,libri,100,2.0,final,main_loss
1600295260.7168884,700,254.9576110839844,libri,100,2.0,final,main_loss
1600296857.785724,800,273.8885498046875,libri,100,2.0,final,main_loss
1600298433.152159,900,203.12371826171875,libri,100,2.0,final,main_loss
1600299899.7484162,984,148.94688415527344,libri,100,2.0,final,main_loss
1600300165.6941175,1000,144.03399658203125,libri,100,2.0,final,main_loss
1600301760.778179,1100,124.59373474121094,libri,100,2.0,final,main_loss
1600303384.3131664,1200,113.25093841552734,libri,100,2.0,final,main_loss
1600304974.0868607,1300,50.87519073486328,libri,100,2.0,final,main_loss
1600306584.5671144,1400,50.52517700195313,libri,100,2.0,final,main_loss
1600307888.322277,1476,83.3449935913086,libri,100,2.0,final,main_loss
1600308269.8598967,1500,89.09394073486328,libri,100,2.0,final,main_loss
1600309879.754294,1600,107.37581634521484,libri,100,2.0,final,main_loss
1600311483.9936047,1700,55.94483184814453,libri,100,2.0,final,main_loss
1600313058.7095609,1800,71.0625228881836,libri,100,2.0,final,main_loss
1600314669.411808,1900,32.593368530273445,libri,100,2.0,final,main_loss
1600315845.9813669,1968,73.74282836914062,libri,100,2.0,final,main_loss
1600316339.2359962,2000,52.148338317871094,libri,100,2.0,final,main_loss
1600317940.4413006,2100,40.045448303222656,libri,100,2.0,final,main_loss
1600319531.283914,2200,76.6291275024414,libri,100,2.0,final,main_loss
1600321136.990301,2300,55.427955627441406,libri,100,2.0,final,main_loss
1600322757.4321072,2400,94.58949279785156,libri,100,2.0,final,main_loss
1600323786.8365984,2460,25.71621131896973,libri,100,2.0,final,main_loss
1600324444.9816089,2500,24.923397064208984,libri,100,2.0,final,main_loss
1600326042.4958065,2600,68.85227966308594,libri,100,2.0,final,main_loss
1600327632.86052,2700,23.15049171447754,libri,100,2.0,final,main_loss
1600329220.5486312,2800,66.72439575195311,libri,100,2.0,final,main_loss
1600330823.394043,2900,45.93144989013672,libri,100,2.0,final,main_loss
1600331758.1756744,2952,38.39244079589844,libri,100,2.0,final,main_loss
1600332510.7721562,3000,27.41336441040039,libri,100,2.0,final,main_loss
1600334123.1100974,3100,77.380615234375,libri,100,2.0,final,main_loss
1600335735.5895212,3200,40.4515266418457,libri,100,2.0,final,main_loss
1600337321.3211849,3300,43.23583984375,libri,100,2.0,final,main_loss
1600338945.8101368,3400,56.30117416381836,libri,100,2.0,final,main_loss
1600339761.8106039,3444,26.138568878173828,libri,100,2.0,final,main_loss
1600340658.1164641,3500,66.65206909179689,libri,100,2.0,final,main_loss
1600342262.8251865,3600,39.65665054321289,libri,100,2.0,final,main_loss
1600343841.5021772,3700,56.98108673095703,libri,100,2.0,final,main_loss
1600345462.5924053,3800,53.39453125,libri,100,2.0,final,main_loss
1600347057.2201993,3900,56.89698028564453,libri,100,2.0,final,main_loss
1600347720.3274586,3936,41.07833480834961,libri,100,2.0,final,main_loss
1600348732.7541516,4000,53.23776245117188,libri,100,2.0,final,main_loss
1600350339.01502,4100,44.46937561035156,libri,100,2.0,final,main_loss
1600351936.2857802,4200,48.644874572753906,libri,100,2.0,final,main_loss
1600353560.303189,4300,39.137123107910156,libri,100,2.0,final,main_loss
1600355167.717011,4400,52.88982391357422,libri,100,2.0,final,main_loss
1600355695.3730862,4428,52.18655395507813,libri,100,2.0,final,main_loss
1600356833.2734232,4500,36.02539825439453,libri,100,2.0,final,main_loss
1600358433.8722522,4600,62.91669845581055,libri,100,2.0,final,main_loss
1600360016.3008466,4700,39.43608856201172,libri,100,2.0,final,main_loss
1600361608.4615262,4800,22.779083251953125,libri,100,2.0,final,main_loss
1600363219.4796884,4900,55.27069091796875,libri,100,2.0,final,main_loss
1600363632.5595324,4920,47.79840850830078,libri,100,2.0,final,main_loss
1600364930.1940012,5000,36.51335144042969,libri,100,2.0,final,main_loss
1600366521.6920125,5100,48.36632919311523,libri,100,2.0,final,main_loss
1600368118.5087578,5200,56.5845947265625,libri,100,2.0,final,main_loss
1600369673.6485484,5300,22.22714614868164,libri,100,2.0,final,main_loss
1600371302.4541554,5400,30.50376892089844,libri,100,2.0,final,main_loss
1600371592.1260312,5412,13.259420394897461,libri,100,2.0,final,main_loss
1600372962.2595265,5500,42.191322326660156,libri,100,2.0,final,main_loss
1600374582.4249213,5600,49.190406799316406,libri,100,2.0,final,main_loss
1600376152.5241554,5700,46.04169464111328,libri,100,2.0,final,main_loss
1600377761.6890972,5800,41.50759506225586,libri,100,2.0,final,main_loss
1600379377.0730355,5900,52.68891143798828,libri,100,2.0,final,main_loss
1600379547.5329099,5904,55.89907836914063,libri,100,2.0,final,main_loss
1600381073.2717965,6000,26.36783599853516,libri,100,2.0,final,main_loss
1600382673.9765446,6100,34.7730712890625,libri,100,2.0,final,main_loss
1600384277.8669605,6200,40.9101448059082,libri,100,2.0,final,main_loss
1600385889.9146125,6300,38.985008239746094,libri,100,2.0,final,main_loss
1600387526.9099245,6396,42.94161605834961,libri,100,2.0,final,main_loss
1600387594.327801,6400,29.674907684326172,libri,100,2.0,final,main_loss
1600389201.7516932,6500,35.31880187988281,libri,100,2.0,final,main_loss
1600390794.2245393,6600,26.303668975830078,libri,100,2.0,final,main_loss
1600392371.4836414,6700,52.39385223388672,libri,100,2.0,final,main_loss
1600393947.8749359,6800,33.1468505859375,libri,100,2.0,final,main_loss
1600395459.589635,6888,41.77707290649414,libri,100,2.0,final,main_loss
1600395642.0634432,6900,33.396678924560554,libri,100,2.0,final,main_loss
1600397229.2871351,7000,43.82493591308594,libri,100,2.0,final,main_loss
1600398808.3985903,7100,34.38705444335937,libri,100,2.0,final,main_loss
1600400414.4451606,7200,49.81906509399414,libri,100,2.0,final,main_loss
1600401973.1668766,7300,56.5898551940918,libri,100,2.0,final,main_loss
1600403335.2900846,7380,44.90513610839844,libri,100,2.0,final,main_loss
1600403646.3012204,7400,7.770042896270753,libri,100,2.0,final,main_loss
1600405240.9599257,7500,31.779067993164066,libri,100,2.0,final,main_loss
1600406849.9041312,7600,45.91043472290039,libri,100,2.0,final,main_loss
1600408402.2472575,7700,33.59555053710937,libri,100,2.0,final,main_loss
1600410004.5392914,7800,35.78512954711914,libri,100,2.0,final,main_loss
1600411235.5612235,7872,32.96451187133789,libri,100,2.0,final,main_loss
1600411671.1078734,7900,39.97676086425781,libri,100,2.0,final,main_loss
1600413241.4169073,8000,23.418804168701172,libri,100,2.0,final,main_loss
1600414835.4589338,8100,47.2387809753418,libri,100,2.0,final,main_loss
1600416435.7049134,8200,36.02113342285156,libri,100,2.0,final,main_loss
1600418043.4465475,8300,52.5274772644043,libri,100,2.0,final,main_loss
1600419162.601179,8364,7.398503303527832,libri,100,2.0,final,main_loss
1600419714.7044687,8400,41.93695831298828,libri,100,2.0,final,main_loss
1600421252.7821126,8500,35.678565979003906,libri,100,2.0,final,main_loss
1600422837.5668235,8600,30.8546199798584,libri,100,2.0,final,main_loss
1600424418.6661644,8700,42.792030334472656,libri,100,2.0,final,main_loss
1600426051.6487398,8800,44.15379333496094,libri,100,2.0,final,main_loss
1600427032.1853833,8856,52.15652847290039,libri,100,2.0,final,main_loss
1600427718.1179786,8900,28.10307693481445,libri,100,2.0,final,main_loss
1600429329.5524762,9000,44.59520721435547,libri,100,2.0,final,main_loss
1600430910.8192177,9100,47.64959716796875,libri,100,2.0,final,main_loss
1600432509.9280524,9200,47.04132080078125,libri,100,2.0,final,main_loss
1600434117.9343498,9300,21.241077423095703,libri,100,2.0,final,main_loss
1600434963.0161312,9348,11.055353164672852,libri,100,2.0,final,main_loss
1600435773.3029554,9400,46.86392211914063,libri,100,2.0,final,main_loss
1600437321.8056395,9500,38.237953186035156,libri,100,2.0,final,main_loss
1600438926.6896262,9600,34.1527099609375,libri,100,2.0,final,main_loss
1600440525.9240315,9700,36.000545501708984,libri,100,2.0,final,main_loss
1600442110.8626091,9800,30.933528900146484,libri,100,2.0,final,main_loss
1600442838.3321195,9840,42.65186309814453,libri,100,2.0,final,main_loss
1600443804.0235276,9900,19.26662826538086,libri,100,2.0,final,main_loss
1600445344.9797971,10000,34.69309616088867,libri,100,2.0,final,main_loss
1600446932.6829903,10100,33.17144012451172,libri,100,2.0,final,main_loss
1600448485.6817493,10200,39.47775268554688,libri,100,2.0,final,main_loss
1600450066.4206696,10300,32.378368377685554,libri,100,2.0,final,main_loss
1600450679.8442242,10332,45.70011901855469,libri,100,2.0,final,main_loss
1600451746.349739,10400,31.849367141723636,libri,100,2.0,final,main_loss
1600453336.8103173,10500,44.19750213623047,libri,100,2.0,final,main_loss
1600454909.7336807,10600,46.08325958251953,libri,100,2.0,final,main_loss
1600456481.3671718,10700,6.043174743652344,libri,100,2.0,final,main_loss
1600458052.2385788,10800,48.077613830566406,libri,100,2.0,final,main_loss
1600458541.9605207,10824,29.712106704711914,libri,100,2.0,final,main_loss
1600459760.1955078,10900,30.855735778808594,libri,100,2.0,final,main_loss
1600461331.721894,11000,23.678749084472656,libri,100,2.0,final,main_loss
1600462920.0105774,11100,26.61137390136719,libri,100,2.0,final,main_loss
1600464501.4278402,11200,32.21974563598633,libri,100,2.0,final,main_loss
1600466073.082099,11300,43.64606857299805,libri,100,2.0,final,main_loss
1600466412.9678247,11316,48.28165054321289,libri,100,2.0,final,main_loss
1600467715.118824,11400,26.256103515625,libri,100,2.0,final,main_loss
1600469318.3816824,11500,49.51683044433594,libri,100,2.0,final,main_loss
1600470920.5984974,11600,47.83148193359375,libri,100,2.0,final,main_loss
1600472478.9634473,11700,41.67333984375,libri,100,2.0,final,main_loss
1600474064.140491,11800,24.30653381347656,libri,100,2.0,final,main_loss
1600474282.677518,11808,41.90735626220703,libri,100,2.0,final,main_loss
1600475754.7268882,11900,30.68830108642578,libri,100,2.0,final,main_loss
1600477323.3815098,12000,22.853790283203125,libri,100,2.0,final,main_loss
1600478858.947249,12100,32.26036834716797,libri,100,2.0,final,main_loss
1600480426.4739847,12200,47.8541030883789,libri,100,2.0,final,main_loss
1600482096.6539807,12300,30.0279541015625,libri,100,2.0,final,main_loss
1600482097.3325365,12300,30.0279541015625,libri,100,2.0,final,main_loss
1600483628.3591347,100,449.024169921875,libri,100,8.0,final,main_loss
1600485150.6226845,200,360.5650634765625,libri,100,8.0,final,main_loss
1600486651.778427,300,366.624267578125,libri,100,8.0,final,main_loss
1600488119.887659,400,382.734619140625,libri,100,8.0,final,main_loss
1600489574.5377455,500,358.7742614746094,libri,100,8.0,final,main_loss
1600491045.3715718,600,366.328857421875,libri,100,8.0,final,main_loss
1600492498.302521,700,477.6358642578125,libri,100,8.0,final,main_loss
1600493964.4041734,800,380.50048828125,libri,100,8.0,final,main_loss
1600495376.6274345,900,406.810791015625,libri,100,8.0,final,main_loss
1600496827.8968046,1000,418.7021484375,libri,100,8.0,final,main_loss
1600498280.41831,1100,392.3502807617188,libri,100,8.0,final,main_loss
1600499727.6696405,1200,397.1709289550781,libri,100,8.0,final,main_loss
1600501172.2302132,1300,455.9379577636719,libri,100,8.0,final,main_loss
1600502638.8056035,1400,424.1287841796875,libri,100,8.0,final,main_loss
1600503832.4710553,1476,387.3389892578125,libri,100,8.0,final,main_loss
1600504179.3072524,1500,402.2182922363281,libri,100,8.0,final,main_loss
1600505632.7346635,1600,355.8013916015625,libri,100,8.0,final,main_loss
1600507073.6059327,1700,311.67864990234375,libri,100,8.0,final,main_loss
1600508508.7889404,1800,348.28955078125,libri,100,8.0,final,main_loss
1600509958.8838751,1900,372.11553955078125,libri,100,8.0,final,main_loss
1600511399.7145276,2000,436.553466796875,libri,100,8.0,final,main_loss
1600512860.8762093,2100,398.3138427734375,libri,100,8.0,final,main_loss
1600514288.4988008,2200,185.0334625244141,libri,100,8.0,final,main_loss
1600515734.914744,2300,354.2640075683594,libri,100,8.0,final,main_loss
1600517179.2296724,2400,390.62579345703125,libri,100,8.0,final,main_loss
1600518653.9432054,2500,381.9979553222656,libri,100,8.0,final,main_loss
1600520078.8929427,2600,426.7478942871094,libri,100,8.0,final,main_loss
1600521562.1775074,2700,412.0025939941406,libri,100,8.0,final,main_loss
1600523093.5463376,2800,382.3294982910156,libri,100,8.0,final,main_loss
1600524527.9463384,2900,297.62261962890625,libri,100,8.0,final,main_loss
1600525373.7870016,2952,229.4649353027344,libri,100,8.0,final,main_loss
1600526065.458547,3000,308.7501220703125,libri,100,8.0,final,main_loss
1600527549.4035132,3100,356.47528076171875,libri,100,8.0,final,main_loss
1600529044.2332535,3200,412.9681396484375,libri,100,8.0,final,main_loss
1600530516.8622346,3300,269.69024658203125,libri,100,8.0,final,main_loss
1600531980.077725,3400,281.69097900390625,libri,100,8.0,final,main_loss
1600533459.7135124,3500,469.7129821777344,libri,100,8.0,final,main_loss
1600534962.0422196,3600,373.59320068359375,libri,100,8.0,final,main_loss
1600536476.636408,3700,352.91070556640625,libri,100,8.0,final,main_loss
1600537963.8701034,3800,291.72998046875,libri,100,8.0,final,main_loss
1600539446.7937634,3900,305.2379150390625,libri,100,8.0,final,main_loss
1600540908.81054,4000,406.7543640136719,libri,100,8.0,final,main_loss
1600542396.979569,4100,302.90142822265625,libri,100,8.0,final,main_loss
1600543874.3011632,4200,351.98236083984375,libri,100,8.0,final,main_loss
1600545364.1771398,4300,72.04972076416016,libri,100,8.0,final,main_loss
1600546834.5268846,4400,404.1178588867188,libri,100,8.0,final,main_loss
1600547350.738453,4428,377.11236572265625,libri,100,8.0,final,main_loss
1600548424.3861527,4500,247.9477844238281,libri,100,8.0,final,main_loss
1600549880.1416075,4600,333.5511779785156,libri,100,8.0,final,main_loss
