,accuracy__delta_abs__test,accuracy__delta_abs__test,accuracy__delta_abs__test,accuracy__delta_abs__test,accuracy__delta_abs__test,accuracy__delta_abs__test,accuracy__delta_abs__test,accuracy__delta_abs__test,accuracy__delta_rel__test,accuracy__delta_rel__test,accuracy__delta_rel__test,accuracy__delta_rel__test,accuracy__delta_rel__test,accuracy__delta_rel__test,accuracy__delta_rel__test,accuracy__delta_rel__test,accuracy__delta_abs__aug,accuracy__delta_abs__aug,accuracy__delta_abs__aug,accuracy__delta_abs__aug,accuracy__delta_abs__aug,accuracy__delta_abs__aug,accuracy__delta_abs__aug,accuracy__delta_abs__aug,accuracy__delta_rel__aug,accuracy__delta_rel__aug,accuracy__delta_rel__aug,accuracy__delta_rel__aug,accuracy__delta_rel__aug,accuracy__delta_rel__aug,accuracy__delta_rel__aug,accuracy__delta_rel__aug,accuracy__delta_abs__gen,accuracy__delta_abs__gen,accuracy__delta_abs__gen,accuracy__delta_abs__gen,accuracy__delta_abs__gen,accuracy__delta_abs__gen,accuracy__delta_abs__gen,accuracy__delta_abs__gen,accuracy__delta_rel__gen,accuracy__delta_rel__gen,accuracy__delta_rel__gen,accuracy__delta_rel__gen,accuracy__delta_rel__gen,accuracy__delta_rel__gen,accuracy__delta_rel__gen,accuracy__delta_rel__gen,error_rate__delta_abs__test,error_rate__delta_abs__test,error_rate__delta_abs__test,error_rate__delta_abs__test,error_rate__delta_abs__test,error_rate__delta_abs__test,error_rate__delta_abs__test,error_rate__delta_abs__test,error_rate__delta_rel__test,error_rate__delta_rel__test,error_rate__delta_rel__test,error_rate__delta_rel__test,error_rate__delta_rel__test,error_rate__delta_rel__test,error_rate__delta_rel__test,error_rate__delta_rel__test,error_rate__delta_abs__aug,error_rate__delta_abs__aug,error_rate__delta_abs__aug,error_rate__delta_abs__aug,error_rate__delta_abs__aug,error_rate__delta_abs__aug,error_rate__delta_abs__aug,error_rate__delta_abs__aug,error_rate__delta_rel__aug,error_rate__delta_rel__aug,error_rate__delta_rel__aug,error_rate__delta_rel__aug,error_rate__delta_rel__aug,error_rate__delta_rel__aug,error_rate__delta_rel__aug,error_rate__delta_rel__aug,error_rate__delta_abs__gen,error_rate__delta_abs__gen,error_rate__delta_abs__gen,error_rate__delta_abs__gen,error_rate__delta_abs__gen,error_rate__delta_abs__gen,error_rate__delta_abs__gen,error_rate__delta_abs__gen,error_rate__delta_rel__gen,error_rate__delta_rel__gen,error_rate__delta_rel__gen,error_rate__delta_rel__gen,error_rate__delta_rel__gen,error_rate__delta_rel__gen,error_rate__delta_rel__gen,error_rate__delta_rel__gen
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
test_set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dev-clean,11.0,1.3143181818181608,1.0132016648409008,0.07249999999996248,0.3124999999999858,1.2824999999999278,1.9112499999999528,2.8425000000000296,11.0,0.018802172076470978,0.018923831867077683,0.0007733745799771984,0.006792498196681866,0.0136807296389133,0.02152029621514654,0.06804520317383982,11.0,1.5215909090909,1.1987187288555643,0.0,0.6049999999999827,1.6075000000000017,2.2437499999999986,3.6575000000000273,11.0,0.02058357293106244,0.01928873886781534,0.0,0.007704070477194898,0.01713432994910333,0.02771635190054969,0.062171209947393447,11.0,0.04545454545453706,0.318409756017735,-0.5849999999999937,-0.026250000000000995,0.1549999999999585,0.24500000000000455,0.4325000000000472,11.0,0.0009255581776452886,0.004320273001488175,-0.006791861376367734,-0.0009782993485431073,0.0016234191301611218,0.004205406305372311,0.006240249609984524,11.0,-1.3143181818181608,1.0132016648409008,-2.8425000000000296,-1.9112499999999528,-1.2824999999999278,-0.3124999999999858,-0.07249999999996248,11.0,-0.11278047054084882,0.11046755931636401,-0.3017585931254903,-0.19406387933131325,-0.06908212560386504,-0.015135138266194951,-0.003937681903783667,11.0,-1.5215909090909,1.1987187288555643,-3.6575000000000273,-2.2437499999999986,-1.6075000000000017,-0.6049999999999827,0.0,11.0,-0.1246419450621493,0.10933643895770805,-0.2935705620703547,-0.209775458674614,-0.11551407588739306,-0.023246820213131524,0.0,11.0,-0.04545454545453706,0.318409756017735,-0.4325000000000472,-0.24500000000000455,-0.1549999999999585,0.026250000000000995,0.5849999999999937,11.0,-0.006630026620702011,0.025910281796298573,-0.034273079049189324,-0.025828527893041867,-0.011590727418059612,-0.0009095666674654218,0.042184964845862157
ood,2.0,3.2942655510479923,0.9609492708214623,2.614771805273868,2.9545186781609303,3.2942655510479923,3.6340124239350544,3.9737592968221165,2.0,0.07358644798883987,0.031055535614043322,0.0516268681627695,0.06260665807580468,0.07358644798883987,0.08456623790187505,0.09554602781491023,2.0,4.966987829614489,0.16649759063449535,4.849256254225615,4.908122041920052,4.966987829614489,5.025853617308925,5.084719405003362,2.0,0.11232258004896836,0.00959024003953797,0.10554125628380433,0.10893191816638634,0.11232258004896836,0.1157132419315504,0.11910390381413241,2.0,2.5280155510479894,2.123804062104844,1.0262592968221185,1.777137423935054,2.5280155510479894,3.278893678160925,4.02977180527386,2.0,0.052447225474190076,0.04158443604028681,0.023042588758285007,0.03774490711623754,0.052447225474190076,0.06714954383214261,0.08185186219009515,2.0,-3.2942655510479923,0.9609492708214623,-3.9737592968221165,-3.6340124239350544,-3.2942655510479923,-2.9545186781609303,-2.614771805273868,2.0,-0.06050686068588568,0.010642400476354159,-0.06803217423081864,-0.06426951745835216,-0.06050686068588568,-0.05674420391341919,-0.052981547140952705,2.0,-4.966987829614489,0.16649759063449535,-5.084719405003362,-5.025853617308925,-4.966987829614489,-4.908122041920052,-4.849256254225615,2.0,-0.08995653515889271,0.011542176835965826,-0.09811808666925843,-0.09403731091407558,-0.08995653515889271,-0.08587575940370984,-0.08179498364852698,2.0,-2.5280155510479894,2.123804062104844,-4.02977180527386,-3.278893678160925,-2.5280155510479894,-1.777137423935054,-1.0262592968221185,2.0,-0.0489403300715879,0.043043950229954046,-0.07937699916824466,-0.06415866461991629,-0.0489403300715879,-0.033721995523259524,-0.01850366097493114
test-clean,10.0,1.551249999999986,1.0863402180921176,0.04999999999999005,0.8381250000000158,1.6362499999999827,2.24062499999998,3.1674999999999613,10.0,0.021592054718252922,0.020620531165238973,0.0012022120702089457,0.00959673674457488,0.017854285561896305,0.026302160402485782,0.0708704015388314,10.0,1.551249999999986,1.0863402180921176,0.04999999999999005,0.8381250000000158,1.6362499999999827,2.24062499999998,3.1674999999999613,10.0,0.021592054718252922,0.020620531165238973,0.0012022120702089457,0.00959673674457488,0.017854285561896305,0.026302160402485782,0.0708704015388314,10.0,0.15050000000000097,0.3172906133709829,0.0,0.0,0.0,0.0,0.757499999999979,10.0,0.0017567192727175375,0.0037036168479427215,0.0,0.0,0.0,0.0,0.008848771825984383,10.0,-1.551249999999986,1.0863402180921176,-3.1674999999999613,-2.24062499999998,-1.6362499999999827,-0.8381250000000158,-0.04999999999999005,10.0,-0.12794028826424003,0.10174832387725627,-0.2769784172661842,-0.1973838320647801,-0.1309983896940412,-0.04872667351481057,-0.0008560178051701773,10.0,-1.551249999999986,1.0863402180921176,-3.1674999999999613,-2.24062499999998,-1.6362499999999827,-0.8381250000000158,-0.04999999999999005,10.0,-0.12794028826424003,0.10174832387725627,-0.2769784172661842,-0.1973838320647801,-0.1309983896940412,-0.04872667351481057,-0.0008560178051701773,10.0,-0.15050000000000097,0.3172906133709829,-0.757499999999979,0.0,0.0,0.0,0.0,10.0,-0.01059064401801728,0.022441645466975937,-0.05775829203202269,0.0,0.0,0.0,0.0
