train_size,metric,growth_factor,test_set,run,accuracy,error_rate,error_rate__baseline__aug,accuracy__baseline__aug,error_rate__baseline__test,accuracy__baseline__test,error_rate__baseline__gen,accuracy__baseline__gen,error_rate__delta_abs__aug,error_rate__delta_rel__aug,accuracy__delta_abs__aug,accuracy__delta_rel__aug,error_rate__delta_abs__test,error_rate__delta_rel__test,accuracy__delta_abs__test,accuracy__delta_rel__test,error_rate__delta_abs__gen,error_rate__delta_rel__gen,accuracy__delta_abs__gen,accuracy__delta_rel__gen
0.1,cer,-1.0,dev-clean,final,41.19,58.81,58.17999999999999,41.82000000000001,58.41,41.59,58.36000000000001,41.63999999999999,0.6300000000000097,0.010828463389481088,-0.6300000000000097,-0.015064562410330214,0.4000000000000057,0.006848142441362878,-0.4000000000000057,-0.009617696561673616,0.44999999999999574,0.0077107607950650395,-0.44999999999999574,-0.010806916426512868
0.1,cer,-1.0,ood,final,38.26362407031787,61.73637592968213,59.285496957403495,40.714503042596505,58.41,41.59,58.36000000000001,41.63999999999999,2.4508789722786375,0.04134027878756905,-2.4508789722786375,-0.06019670606600474,3.3263759296821362,0.05694874044995953,-3.3263759296821362,-0.07998018585434326,3.3763759296821263,0.0578542825510988,-3.3763759296821263,-0.08108491665903282
0.1,cer,-1.0,test-clean,final,41.63999999999999,58.36000000000001,58.41,41.59,58.41,41.59,58.36000000000001,41.63999999999999,-0.04999999999999005,-0.0008560178051701773,0.04999999999999005,0.0012022120702089457,-0.04999999999999005,-0.0008560178051701773,0.04999999999999005,0.0012022120702089457,0.0,0.0,0.0,0.0
0.1,cer,0.0,dev-clean,final,41.82000000000001,58.17999999999999,58.17999999999999,41.82000000000001,58.41,41.59,58.41,41.59,0.0,0.0,0.0,0.0,-0.23000000000000398,-0.003937681903783667,0.23000000000000398,0.005530175522962346,-0.23000000000000398,-0.003937681903783667,0.23000000000000398,0.005530175522962346
0.1,cer,0.0,ood,final,40.714503042596505,59.285496957403495,59.285496957403495,40.714503042596505,58.41,41.59,58.41,41.59,0.0,0.0,0.0,0.0,0.8754969574034988,0.014988819678197205,-0.8754969574034988,-0.021050660192438054,0.8754969574034988,0.014988819678197205,-0.8754969574034988,-0.021050660192438054
0.1,cer,0.0,test-clean,final,41.59,58.41,58.41,41.59,58.41,41.59,58.41,41.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,cer,0.5,dev-clean,final,41.925,58.075,58.17999999999999,41.82000000000001,58.41,41.59,58.33500000000001,41.66499999999999,-0.10499999999998977,-0.0018047438982466445,0.10499999999998977,0.002510760401721419,-0.33499999999999375,-0.005735319294641222,0.33499999999999375,0.008054820870401387,-0.2600000000000051,-0.004457015513842548,0.2600000000000051,0.006240249609984524
0.1,cer,0.5,ood,final,41.268221771467225,58.731778228532775,59.285496957403495,40.714503042596505,58.41,41.59,58.33500000000001,41.66499999999999,-0.5537187288707202,-0.009339868218842222,0.5537187288707202,0.013600036534681663,0.3217782285327786,0.005508957858804633,-0.3217782285327786,-0.007736913405452719,0.39677822853276723,0.0068017181543287425,-0.39677822853276723,-0.009523058407122701
0.1,cer,0.5,test-clean,final,41.66499999999999,58.33500000000001,58.41,41.59,58.41,41.59,58.33500000000001,41.66499999999999,-0.07499999999998863,-0.0012840267077553267,0.07499999999998863,0.001803318105313504,-0.07499999999998863,-0.0012840267077553267,0.07499999999998863,0.001803318105313504,0.0,0.0,0.0,0.0
0.1,cer,1.0,dev-clean,final,39.55250000000001,60.44749999999999,58.17999999999999,41.82000000000001,58.41,41.59,59.67750000000001,40.32249999999999,2.2674999999999983,0.038973874183568215,-2.2674999999999983,-0.05422046867527494,2.0374999999999943,0.034882725560691566,-2.0374999999999943,-0.04899014186102414,0.7699999999999818,0.012902685266641225,-0.7699999999999818,-0.019096038192075938
0.1,cer,1.0,ood,final,36.02183908045981,63.97816091954019,59.285496957403495,40.714503042596505,58.41,41.59,59.67750000000001,40.32249999999999,4.692663962136692,0.0791536581958377,-4.692663962136692,-0.11525779787185693,5.56816091954019,0.09532889778360197,-5.56816091954019,-0.1338822053267658,4.300660919540178,0.07206503153684685,-4.300660919540178,-0.10665660411780467
0.1,cer,1.0,test-clean,final,40.32249999999999,59.67750000000001,58.41,41.59,58.41,41.59,59.67750000000001,40.32249999999999,1.2675000000000125,0.021700051361068527,-1.2675000000000125,-0.030476075979803136,1.2675000000000125,0.021700051361068527,-1.2675000000000125,-0.030476075979803136,0.0,0.0,0.0,0.0
0.1,cer,2.0,dev-clean,final,38.5475,61.4525,58.17999999999999,41.82000000000001,58.41,41.59,60.88499999999999,39.11500000000001,3.272500000000008,0.05624785149535937,-3.272500000000008,-0.07825203252032538,3.042500000000004,0.052088683444615716,-3.042500000000004,-0.07315460447222899,0.5675000000000097,0.009320850784265578,-0.5675000000000097,-0.014508500575227139
0.1,cer,2.0,ood,final,37.012474645030494,62.987525354969506,59.285496957403495,40.714503042596505,58.41,41.59,60.88499999999999,39.11500000000001,3.7020283975660107,0.062444081395251025,-3.7020283975660107,-0.0909265279178984,4.577525354969509,0.07836886414945231,-4.577525354969509,-0.11006312466865854,2.102525354969515,0.03453273146045028,-2.102525354969515,-0.05375240585375213
0.1,cer,2.0,test-clean,final,39.11500000000001,60.88499999999999,58.41,41.59,58.41,41.59,60.88499999999999,39.11500000000001,2.4749999999999943,0.04237288135593211,-2.4749999999999943,-0.059509497475354514,2.4749999999999943,0.04237288135593211,-2.4749999999999943,-0.059509497475354514,0.0,0.0,0.0,0.0
0.1,cer,8.0,dev-clean,final,44.42,55.58,58.17999999999999,41.82000000000001,58.41,41.59,55.4625,44.5375,-2.5999999999999943,-0.04468889652801641,2.5999999999999943,0.062171209947393447,-2.8299999999999983,-0.048450607772641645,2.8299999999999983,0.06804520317383982,0.11749999999999972,0.0021185485688528234,-0.11749999999999972,-0.002638226213864714
0.1,cer,8.0,ood,final,45.56375929682212,54.43624070317788,59.285496957403495,40.714503042596505,58.41,41.59,55.4625,44.5375,-4.849256254225615,-0.08179498364852698,4.849256254225615,0.11910390381413241,-3.9737592968221165,-0.06803217423081864,3.9737592968221165,0.09554602781491023,-1.0262592968221185,-0.01850366097493114,1.0262592968221185,0.023042588758285007
0.1,cer,8.0,test-clean,final,44.5375,55.4625,58.41,41.59,58.41,41.59,55.4625,44.5375,-2.947499999999998,-0.050462249614791954,2.947499999999998,0.0708704015388314,-2.947499999999998,-0.050462249614791954,2.947499999999998,0.0708704015388314,0.0,0.0,0.0,0.0
1.0,cer,-1.0,dev-clean,final,47.64500000000001,52.35499999999999,49.8325,50.1675,49.3525,50.6475,52.4275,47.5725,2.5224999999999866,0.05061957557818666,-2.5224999999999866,-0.05028155678477075,3.0024999999999906,0.06083785015956619,-3.0024999999999906,-0.05928229428895781,-0.07250000000001222,-0.0013828620475897615,0.07250000000001222,0.0015239896999319402
1.0,cer,-1.0,ood,final,46.67704530087892,53.32295469912108,51.82244759972949,48.17755240027051,49.3525,50.6475,52.4275,47.5725,1.5005070993915837,0.02895477093211275,-1.5005070993915837,-0.03114535763305316,3.9704546991210776,0.0804509335721813,-3.9704546991210776,-0.07839389306720129,0.8954546991210748,0.017079866465520475,-0.8954546991210748,-0.018822948113323346
1.0,cer,-1.0,test-clean,final,47.5725,52.4275,49.3525,50.6475,49.3525,50.6475,52.4275,47.5725,3.075000000000003,0.062306874018540154,-3.075000000000003,-0.06071375684880799,3.075000000000003,0.062306874018540154,-3.075000000000003,-0.06071375684880799,0.0,0.0,0.0,0.0
1.0,cer,0.0,dev-clean,final,50.1675,49.8325,49.8325,50.1675,49.3525,50.6475,49.3525,50.6475,0.0,0.0,0.0,0.0,0.480000000000004,0.009725951066308778,-0.480000000000004,-0.00947726936176522,0.480000000000004,0.009725951066308778,-0.480000000000004,-0.00947726936176522
1.0,cer,0.0,ood,final,48.17755240027051,51.82244759972949,51.82244759972949,48.17755240027051,49.3525,50.6475,49.3525,50.6475,0.0,0.0,0.0,0.0,2.469947599729494,0.050047061440241,-2.469947599729494,-0.04876741398350351,2.469947599729494,0.050047061440241,-2.469947599729494,-0.04876741398350351
1.0,cer,0.0,test-clean,final,50.6475,49.3525,49.3525,50.6475,49.3525,50.6475,49.3525,50.6475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,cer,0.5,dev-clean,final,44.335,55.665,49.8325,50.1675,49.3525,50.6475,55.23750000000001,44.76249999999999,5.832499999999996,0.11704209100486622,-5.832499999999996,-0.11626052723376681,6.3125,0.12790638772098678,-6.3125,-0.12463596426279679,0.4274999999999878,0.007739307535641325,-0.4274999999999878,-0.00955040491482799
1.0,cer,0.5,ood,final,44.04269776876272,55.95730223123728,51.82244759972949,48.17755240027051,49.3525,50.6475,55.23750000000001,44.76249999999999,4.134854631507785,0.07978887186967543,-4.134854631507785,-0.0858253361888216,6.604802231237279,0.1338291318826256,-6.604802231237279,-0.1304072704721315,0.7198022312372672,0.013031042882774692,-0.7198022312372672,-0.01608047430856783
1.0,cer,0.5,test-clean,final,44.76249999999999,55.23750000000001,49.3525,50.6475,49.3525,50.6475,55.23750000000001,44.76249999999999,5.885000000000012,0.11924421255255585,-5.885000000000012,-0.11619527123747495,5.885000000000012,0.11924421255255585,-5.885000000000012,-0.11619527123747495,0.0,0.0,0.0,0.0
1.0,cer,1.0,dev-clean,final,38.74750000000001,61.25249999999999,49.8325,50.1675,49.3525,50.6475,60.92999999999999,39.07000000000001,11.419999999999987,0.2291677118346458,-11.419999999999987,-0.2276374146608858,11.899999999999991,0.24112253685223628,-11.899999999999991,-0.23495730292709396,0.322499999999998,0.005292959133431775,-0.322499999999998,-0.008254415152290707
1.0,cer,1.0,ood,final,41.107674104124456,58.892325895875544,51.82244759972949,48.17755240027051,49.3525,50.6475,60.92999999999999,39.07000000000001,7.069878296146051,0.1364250170264624,-7.069878296146051,-0.146746315325607,9.539825895875545,0.19329974967581268,-9.539825895875545,-0.1883572909990729,-2.0376741041244486,-0.03344287057483093,2.0376741041244486,0.052154443412450686
1.0,cer,1.0,test-clean,final,39.07000000000001,60.92999999999999,49.3525,50.6475,49.3525,50.6475,60.92999999999999,39.07000000000001,11.577499999999993,0.23458791347956018,-11.577499999999993,-0.22858976257465805,11.577499999999993,0.23458791347956018,-11.577499999999993,-0.22858976257465805,0.0,0.0,0.0,0.0
1.0,cer,2.0,dev-clean,final,46.00500000000001,53.99499999999999,49.8325,50.1675,49.3525,50.6475,53.23250000000001,46.76749999999999,4.162499999999987,0.08352982491345982,-4.162499999999987,-0.08297204365375965,4.642499999999991,0.09406818296945425,-4.642499999999991,-0.09166296460832205,0.7624999999999815,0.014323956229746516,-0.7624999999999815,-0.01630405730475184
1.0,cer,2.0,ood,final,49.802670723461894,50.197329276538106,51.82244759972949,48.17755240027051,49.3525,50.6475,53.23250000000001,46.76749999999999,-1.625118323191387,-0.03135935098518716,1.625118323191387,0.033731857311669125,0.8448292765381069,0.017118267089572096,-0.8448292765381069,-0.01668057212178502,-3.0351707234619028,-0.05701724930187202,3.0351707234619028,0.06489914413774316
1.0,cer,2.0,test-clean,final,46.76749999999999,53.23250000000001,49.3525,50.6475,49.3525,50.6475,53.23250000000001,46.76749999999999,3.8800000000000097,0.07861810445266217,-3.8800000000000097,-0.07660792734093508,3.8800000000000097,0.07861810445266217,-3.8800000000000097,-0.07660792734093508,0.0,0.0,0.0,0.0
1.0,cer,8.0,dev-clean,final,48.7275,51.2725,49.8325,50.1675,49.3525,50.6475,50.76749999999999,49.23250000000001,1.4399999999999977,0.028896804294386146,-1.4399999999999977,-0.028703842128868246,1.9200000000000017,0.03890380426523483,-1.9200000000000017,-0.037909077447060596,0.5050000000000097,0.009947308809770222,-0.5050000000000097,-0.010257451886457311
1.0,cer,8.0,ood,final,53.26227180527387,46.73772819472613,51.82244759972949,48.17755240027051,49.3525,50.6475,50.76749999999999,49.23250000000001,-5.084719405003362,-0.09811808666925843,5.084719405003362,0.10554125628380433,-2.614771805273868,-0.052981547140952705,2.614771805273868,0.0516268681627695,-4.02977180527386,-0.07937699916824466,4.02977180527386,0.08185186219009515
1.0,cer,8.0,test-clean,final,49.23250000000001,50.76749999999999,49.3525,50.6475,49.3525,50.6475,50.76749999999999,49.23250000000001,1.414999999999992,0.028671293247555688,-1.414999999999992,-0.027938200306036665,1.414999999999992,0.028671293247555688,-1.414999999999992,-0.027938200306036665,0.0,0.0,0.0,0.0
10.0,cer,-1.0,dev-clean,final,46.05,53.95,16.340000000000003,83.66,15.525000000000006,84.475,54.084999999999994,45.915000000000006,37.61,2.301713586291309,-37.61,-0.4495577336839589,38.425,2.4750402576489523,-38.425,-0.4548683042320213,-0.1349999999999909,-0.0024960709993527026,0.1349999999999909,0.0029402156158116277
10.0,cer,-1.0,ood,final,46.132995267072445,53.867004732927555,37.220351588911534,62.779648411088466,15.525000000000006,84.475,54.084999999999994,45.915000000000006,16.64665314401602,0.4472459940162224,-16.64665314401602,-0.2651600250293183,38.34200473292755,2.469694346726411,-38.34200473292755,-0.4538858210467896,-0.217995267072439,-0.004030604919523694,0.217995267072439,0.004747800654958923
10.0,cer,-1.0,test-clean,final,45.915000000000006,54.084999999999994,15.525000000000006,84.475,15.525000000000006,84.475,54.084999999999994,45.915000000000006,38.55999999999999,2.483735909822865,-38.55999999999999,-0.4564664101805267,38.55999999999999,2.483735909822865,-38.55999999999999,-0.4564664101805267,0.0,0.0,0.0,0.0
10.0,cer,0.0,dev-clean,extended,84.76499999999997,15.235000000000028,16.340000000000003,83.66,15.525000000000006,84.475,15.525000000000006,84.475,-1.1049999999999756,-0.06762545899632652,1.1049999999999756,0.013208223762849337,-0.28999999999997783,-0.01867954911433029,0.28999999999997783,0.0034329683338263136,-0.28999999999997783,-0.01867954911433029,0.28999999999997783,0.0034329683338263136
10.0,cer,0.0,dev-clean,final,83.66,16.340000000000003,16.340000000000003,83.66,15.525000000000006,84.475,15.525000000000006,84.475,0.0,0.0,0.0,0.0,0.8149999999999977,0.052495974235104506,-0.8149999999999977,-0.00964782480023673,0.8149999999999977,0.052495974235104506,-0.8149999999999977,-0.00964782480023673
10.0,cer,0.0,ood,extended,61.978363759296805,38.021636240703195,37.220351588911534,62.779648411088466,15.525000000000006,84.475,15.525000000000006,84.475,0.8012846517916614,0.021528132260587658,-0.8012846517916614,-0.01276344599040689,22.49663624070319,1.449058695053345,-22.49663624070319,-0.26631117183430825,22.49663624070319,1.449058695053345,-22.49663624070319,-0.26631117183430825
10.0,cer,0.0,ood,final,62.779648411088466,37.220351588911534,37.220351588911534,62.779648411088466,15.525000000000006,84.475,15.525000000000006,84.475,0.0,0.0,0.0,0.0,21.695351588911528,1.3974461570957502,-21.695351588911528,-0.2568257068826461,21.695351588911528,1.3974461570957502,-21.695351588911528,-0.2568257068826461
10.0,cer,0.0,test-clean,extended,85.22250000000003,14.777499999999975,15.525000000000006,84.475,15.525000000000006,84.475,15.525000000000006,84.475,-0.7475000000000307,-0.048148148148150105,0.7475000000000307,0.008848771825984383,-0.7475000000000307,-0.048148148148150105,0.7475000000000307,0.008848771825984383,-0.7475000000000307,-0.048148148148150105,0.7475000000000307,0.008848771825984383
10.0,cer,0.0,test-clean,final,84.475,15.525000000000006,15.525000000000006,84.475,15.525000000000006,84.475,15.525000000000006,84.475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,cer,0.5,dev-clean,final,85.5475,14.4525,16.340000000000003,83.66,15.525000000000006,84.475,13.867500000000007,86.1325,-1.8875000000000028,-0.11551407588739306,1.8875000000000028,0.02256155868993549,-1.0725000000000051,-0.06908212560386504,1.0725000000000051,0.012696063924238,0.5849999999999937,0.042184964845862157,-0.5849999999999937,-0.006791861376367734
10.0,cer,0.5,ood,final,64.87988505747111,35.120114942528886,37.220351588911534,62.779648411088466,15.525000000000006,84.475,13.867500000000007,86.1325,-2.1002366463826476,-0.056427103902165654,2.1002366463826476,0.03345410016682561,19.59511494252888,1.2621652136894603,-19.59511494252888,-0.23196347963928832,21.25261494252888,1.5325484003986924,-21.25261494252888,-0.24674327277774222
10.0,cer,0.5,test-clean,final,86.1325,13.867500000000007,15.525000000000006,84.475,15.525000000000006,84.475,13.867500000000007,86.1325,-1.6574999999999989,-0.10676328502415448,1.6574999999999989,0.019621189701094985,-1.6574999999999989,-0.10676328502415448,1.6574999999999989,0.019621189701094985,0.0,0.0,0.0,0.0
10.0,cer,1.0,dev-clean,extended,87.31750000000002,12.682499999999976,16.340000000000003,83.66,15.525000000000006,84.475,13.115000000000023,86.88499999999998,-3.6575000000000273,-0.2238372093023272,3.6575000000000273,0.04371862299784876,-2.8425000000000296,-0.18309178743961535,2.8425000000000296,0.03364900858242119,-0.4325000000000472,-0.03297750667175344,0.4325000000000472,0.004977844276918309
10.0,cer,1.0,dev-clean,final,86.40999999999997,13.590000000000032,16.340000000000003,83.66,15.525000000000006,84.475,13.115000000000023,86.88499999999998,-2.7499999999999716,-0.16829865361076934,2.7499999999999716,0.032871145111163895,-1.9349999999999739,-0.12463768115941856,1.9349999999999739,0.022906185261911502,0.4750000000000085,0.036218070911171005,-0.4750000000000085,-0.005466996604707472
10.0,cer,1.0,ood,extended,65.90807978363746,34.09192021636254,37.220351588911534,62.779648411088466,15.525000000000006,84.475,13.115000000000023,86.88499999999998,-3.128431372548995,-0.08405163409259678,3.128431372548995,0.049831935216706875,18.566920216362533,1.1959368899428358,-18.566920216362533,-0.2197918936533002,20.976920216362515,1.5994601766193273,-20.976920216362515,-0.24143316126330805
10.0,cer,1.0,ood,final,65.59070317782283,34.40929682217717,37.220351588911534,62.779648411088466,15.525000000000006,84.475,13.115000000000023,86.88499999999998,-2.8110547667343653,-0.07552466988441393,2.8110547667343653,0.04477652930336995,18.884296822177163,1.2163798275154367,-18.884296822177163,-0.22354894136936565,21.294296822177145,1.6236596890718344,-21.294296822177145,-0.24508599668731254
10.0,cer,1.0,test-clean,extended,87.64249999999996,12.357500000000044,15.525000000000006,84.475,15.525000000000006,84.475,13.115000000000023,86.88499999999998,-3.1674999999999613,-0.20402576489532756,3.1674999999999613,0.0374963006806743,-3.1674999999999613,-0.20402576489532756,3.1674999999999613,0.0374963006806743,-0.757499999999979,-0.05775829203202269,0.757499999999979,0.008718420901190991
10.0,cer,1.0,test-clean,final,86.88499999999998,13.115000000000023,15.525000000000006,84.475,15.525000000000006,84.475,13.115000000000023,86.88499999999998,-2.4099999999999824,-0.15523349436392794,2.4099999999999824,0.028529150636282717,-2.4099999999999824,-0.15523349436392794,2.4099999999999824,0.028529150636282717,0.0,0.0,0.0,0.0
10.0,cer,2.0,dev-clean,final,63.66499999999999,36.33500000000001,16.340000000000003,83.66,15.525000000000006,84.475,35.7175,64.2825,19.995000000000005,1.2236842105263157,-19.995000000000005,-0.23900310781735604,20.810000000000002,1.340418679549114,-20.810000000000002,-0.24634507250665882,0.6175000000000068,0.01728844404003659,-0.6175000000000068,-0.00960603585734853
10.0,cer,2.0,ood,final,53.73928329952664,46.26071670047336,37.220351588911534,62.779648411088466,15.525000000000006,84.475,35.7175,64.2825,9.040365111561826,0.24288768712907802,-9.040365111561826,-0.14400152502232028,30.735716700473354,1.979756309209233,-30.735716700473354,-0.3638439384489299,10.543216700473359,0.2951835010981552,-10.543216700473359,-0.1640137938081649
10.0,cer,2.0,test-clean,final,64.2825,35.7175,15.525000000000006,84.475,15.525000000000006,84.475,35.7175,64.2825,20.192499999999995,1.300644122383252,-20.192499999999995,-0.23903521751997628,20.192499999999995,1.300644122383252,-20.192499999999995,-0.23903521751997628,0.0,0.0,0.0,0.0
10.0,cer,8.0,dev-clean,final,42.72000000000001,57.27999999999999,16.340000000000003,83.66,15.525000000000006,84.475,57.305,42.695,40.93999999999998,2.505507955936351,-40.93999999999998,-0.4893617021276594,41.75499999999998,2.6895330112721396,-41.75499999999998,-0.49428825096182283,-0.02500000000001279,-0.0004362621062736723,0.02500000000001279,0.0005855486590938703
10.0,cer,8.0,ood,final,50.12025016903326,49.87974983096674,37.220351588911534,62.779648411088466,15.525000000000006,84.475,57.305,42.695,12.659398242055204,0.3401203293798712,-12.659398242055204,-0.20164812263936213,34.35474983096673,2.2128663337176633,-34.35474983096673,-0.40668540788359553,-7.425250169033262,-0.1295742111339894,7.425250169033262,0.17391381119646943
10.0,cer,8.0,test-clean,final,42.695,57.305,15.525000000000006,84.475,15.525000000000006,84.475,57.305,42.695,41.779999999999994,2.6911433172302726,-41.779999999999994,-0.4945841965078425,41.779999999999994,2.6911433172302726,-41.779999999999994,-0.4945841965078425,0.0,0.0,0.0,0.0
100.0,cer,-1.0,dev-clean,final,87.91,12.090000000000003,6.1825000000000045,93.8175,6.254999999999967,93.74500000000003,12.212499999999977,87.78750000000002,5.907499999999999,0.9555196118075203,-5.907499999999999,-0.06296799637594265,5.835000000000036,0.9328537170263896,-5.835000000000036,-0.0622433196437147,-0.12249999999997385,-0.010030706243600744,0.12249999999997385,0.0013954150647868299
100.0,cer,-1.0,ood,final,68.34070317782289,31.65929682217711,29.99661933739003,70.00338066260997,6.254999999999967,93.74500000000003,12.212499999999977,87.78750000000002,1.662677484787082,0.05542882903189682,-1.662677484787082,-0.023751388419375966,25.404296822177145,4.0614383408756645,-25.404296822177145,-0.27099361909624126,19.446796822177134,1.5923682147125626,-19.446796822177134,-0.22152125100016665
100.0,cer,-1.0,test-clean,final,87.78750000000002,12.212499999999977,6.254999999999967,93.74500000000003,6.254999999999967,93.74500000000003,12.212499999999977,87.78750000000002,5.95750000000001,0.9524380495603584,-5.95750000000001,-0.06355005600298691,5.95750000000001,0.9524380495603584,-5.95750000000001,-0.06355005600298691,0.0,0.0,0.0,0.0
100.0,cer,0.0,dev-clean,final,93.8175,6.1825000000000045,6.1825000000000045,93.8175,6.254999999999967,93.74500000000003,6.254999999999967,93.74500000000003,0.0,0.0,0.0,0.0,-0.07249999999996248,-0.011590727418059612,0.07249999999996248,0.0007733745799771984,-0.07249999999996248,-0.011590727418059612,0.07249999999996248,0.0007733745799771984
100.0,cer,0.0,ood,final,70.00338066260997,29.99661933739003,29.99661933739003,70.00338066260997,6.254999999999967,93.74500000000003,6.254999999999967,93.74500000000003,0.0,0.0,0.0,0.0,23.741619337390063,3.7956225959057055,-23.741619337390063,-0.25325744666264927,23.741619337390063,3.7956225959057055,-23.741619337390063,-0.25325744666264927
100.0,cer,0.0,test-clean,final,93.74500000000003,6.254999999999967,6.254999999999967,93.74500000000003,6.254999999999967,93.74500000000003,6.254999999999967,93.74500000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
