q,WER_{\text{Base}},WER_{\text{F.Aug}},$\Delta$,\%
0.1 hrs.,93.4,92.9,-0.5,-0.5\%
1 hrs.,87.3,90.8,+3.6,+4.1\%
10 hrs.,40.4,97.8,+57.5,+142.3\%
100 hrs.,18.8,29.7,+10.9,+57.7\%
