,accuracy__delta_abs__test,accuracy__delta_abs__test,accuracy__delta_abs__test,accuracy__delta_abs__test,accuracy__delta_abs__test,accuracy__delta_abs__test,accuracy__delta_abs__test,accuracy__delta_abs__test,accuracy__delta_rel__test,accuracy__delta_rel__test,accuracy__delta_rel__test,accuracy__delta_rel__test,accuracy__delta_rel__test,accuracy__delta_rel__test,accuracy__delta_rel__test,accuracy__delta_rel__test,accuracy__delta_abs__aug,accuracy__delta_abs__aug,accuracy__delta_abs__aug,accuracy__delta_abs__aug,accuracy__delta_abs__aug,accuracy__delta_abs__aug,accuracy__delta_abs__aug,accuracy__delta_abs__aug,accuracy__delta_rel__aug,accuracy__delta_rel__aug,accuracy__delta_rel__aug,accuracy__delta_rel__aug,accuracy__delta_rel__aug,accuracy__delta_rel__aug,accuracy__delta_rel__aug,accuracy__delta_rel__aug,accuracy__delta_abs__gen,accuracy__delta_abs__gen,accuracy__delta_abs__gen,accuracy__delta_abs__gen,accuracy__delta_abs__gen,accuracy__delta_abs__gen,accuracy__delta_abs__gen,accuracy__delta_abs__gen,accuracy__delta_rel__gen,accuracy__delta_rel__gen,accuracy__delta_rel__gen,accuracy__delta_rel__gen,accuracy__delta_rel__gen,accuracy__delta_rel__gen,accuracy__delta_rel__gen,accuracy__delta_rel__gen,error_rate__delta_abs__test,error_rate__delta_abs__test,error_rate__delta_abs__test,error_rate__delta_abs__test,error_rate__delta_abs__test,error_rate__delta_abs__test,error_rate__delta_abs__test,error_rate__delta_abs__test,error_rate__delta_rel__test,error_rate__delta_rel__test,error_rate__delta_rel__test,error_rate__delta_rel__test,error_rate__delta_rel__test,error_rate__delta_rel__test,error_rate__delta_rel__test,error_rate__delta_rel__test,error_rate__delta_abs__aug,error_rate__delta_abs__aug,error_rate__delta_abs__aug,error_rate__delta_abs__aug,error_rate__delta_abs__aug,error_rate__delta_abs__aug,error_rate__delta_abs__aug,error_rate__delta_abs__aug,error_rate__delta_rel__aug,error_rate__delta_rel__aug,error_rate__delta_rel__aug,error_rate__delta_rel__aug,error_rate__delta_rel__aug,error_rate__delta_rel__aug,error_rate__delta_rel__aug,error_rate__delta_rel__aug,error_rate__delta_abs__gen,error_rate__delta_abs__gen,error_rate__delta_abs__gen,error_rate__delta_abs__gen,error_rate__delta_abs__gen,error_rate__delta_abs__gen,error_rate__delta_abs__gen,error_rate__delta_abs__gen,error_rate__delta_rel__gen,error_rate__delta_rel__gen,error_rate__delta_rel__gen,error_rate__delta_rel__gen,error_rate__delta_rel__gen,error_rate__delta_rel__gen,error_rate__delta_rel__gen,error_rate__delta_rel__gen
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
test_set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dev-clean,26.0,-8.488846153846145,20.904256303810108,-71.80249999999998,-4.246874999999999,-0.3825000000000012,1.6762500000000062,5.767500000000005,26.0,-0.1700820591813459,0.33906396095664454,-0.9674241153781653,-0.26972135007849307,-0.030814667414726757,0.03466013911122118,0.3649414431431807,26.0,-7.919230769230776,20.798383407962636,-71.87500000000003,-3.7793750000000004,0.0,2.1300000000000034,7.119999999999997,26.0,-0.14842740728366485,0.3477980854328764,-0.9666680966067521,-0.24190262782644137,0.0,0.05596406485555182,0.42300118156754696,26.0,-0.2383653846153821,0.5273219805335706,-1.352499999999992,-0.563124999999999,-0.2725000000000031,0.1312499999999892,0.7550000000000097,26.0,-0.019628255470681175,0.03554459319516612,-0.10792192881745134,-0.03987400455659781,-0.02329245808066669,0.00349157041856151,0.07788347205707548,26.0,8.488846153846147,20.904256303810108,-5.767500000000005,-1.676250000000005,0.3825000000000003,4.246874999999996,71.80249999999998,26.0,0.2753512519102554,0.839907308156111,-0.294047302684029,-0.02035935957980053,0.004271686948816132,0.04866920696768274,3.816237044910969,26.0,7.919230769230778,20.79838340796264,-7.119999999999997,-2.1300000000000026,0.0,3.779375000000009,71.87500000000003,26.0,0.26074153727635613,0.8365535909563396,-0.2913165266106427,-0.023000355146750924,0.0,0.04308084694081114,3.8348672802454375,26.0,0.23836538461538262,0.5273219805335704,-0.7550000000000097,-0.1312499999999872,0.27250000000000796,0.5631249999999959,1.352499999999992,26.0,0.0012034215460809416,0.01696223952188978,-0.03767433435971911,-0.003258742815598398,0.00295944237043491,0.0063617565678730035,0.03350260094129284
ood,26.0,-24.806652233837806,22.252629063491312,-74.18266734279919,-39.82374239350898,-31.784141311697056,-4.003683231913525,0.8092072346179471,26.0,-0.47284408866030786,0.25716228619876563,-0.9747048425851689,-0.5771573427964716,-0.49808272779138485,-0.31426085022869116,0.12228292174052843,26.0,-2.429297342279084,8.746962455756917,-28.602738336714133,-2.2735716700472546,-0.004648411088574278,1.8630662609871762,7.746247464502993,26.0,-0.09840126800689059,0.33393722366011724,-0.9399386422958927,-0.1750531217433252,-0.0009022724140874331,0.09460416418753764,0.4415491525201119,26.0,-16.556171464607043,18.513848228979974,-45.57992900608507,-36.26989477687623,-2.926600743745822,-1.6500722616632528,1.3835395537525343,26.0,-0.33963041847620185,0.21474393262019834,-0.6209173382353219,-0.5137435688217279,-0.29278929239713397,-0.22983513677928005,0.3290224860291402,26.0,24.806652233837802,22.252629063491316,-0.8092072346179435,4.00368323191352,31.784141311697056,39.82374239350898,74.18266734279919,26.0,0.9030722268665108,1.0509111232488624,-0.008665512645495073,0.04588222819062021,0.7873208152513514,1.4144563397096133,3.9427407569917134,26.0,2.4292973422790825,8.746962455756917,-7.746247464502993,-1.863066260987182,0.004648411088574278,2.273571670047261,28.602738336714125,26.0,0.03270290735775898,0.1263655350162939,-0.12029281783618397,-0.020692402749208416,4.900900232998677e-05,0.024940182648739727,0.44417687507678233,26.0,16.556171464607043,18.513848228979974,-1.3835395537525415,1.6500722616632544,2.92660074374583,36.26989477687623,45.57992900608507,26.0,0.6834360846528722,1.0209627515877606,-0.014442711558562988,0.01769374041164418,0.03295164691355744,1.0121482360487697,3.1113682480280684
test-clean,26.0,-8.211442307692305,21.019728366145422,-72.05499999999998,-3.8425000000000007,0.0,2.1681249999999985,6.252500000000005,26.0,-0.15081963358512282,0.34726440295847016,-0.9634831460674157,-0.24375414774519757,0.0,0.0483055854763924,0.41254250094446515,26.0,-8.211442307692305,21.019728366145422,-72.05499999999998,-3.8425000000000007,0.0,2.1681249999999985,6.252500000000005,26.0,-0.15081963358512282,0.34726440295847016,-0.9634831460674157,-0.24375414774519757,0.0,0.0483055854763924,0.41254250094446515,26.0,0.039038461538462105,0.24888559311767966,-0.22499999999999432,0.0,0.0,0.0,1.240000000000009,26.0,0.0005926599205088487,0.003863007368459169,-0.0037732684890155006,0.0,0.0,0.0,0.019182426422245567,26.0,8.211442307692302,21.01972836614542,-6.252500000000005,-2.168124999999989,0.0,3.8424999999999905,72.05499999999998,26.0,0.27268127772506057,0.8423107085853977,-0.26640977943130384,-0.02321767997215741,0.0,0.04403506761402694,3.8296571884134933,26.0,8.211442307692302,21.01972836614542,-6.252500000000005,-2.168124999999989,0.0,3.8424999999999905,72.05499999999998,26.0,0.27268127772506057,0.8423107085853977,-0.26640977943130384,-0.02321767997215741,0.0,0.04403506761402694,3.8296571884134933,26.0,-0.039038461538462105,0.24888559311767966,-1.240000000000009,0.0,0.0,0.0,0.22499999999999432,26.0,-0.0011344964306452998,0.007007221439309846,-0.035070352824719195,0.0,0.0,0.0,0.0055734456279414
