,count,mean,std,min,25%,50%,75%,max
"Train Loss (100,8)",151.0,-0.6984050826521109,95.16901118073899,-279.9326400756836,-60.97309875488281,6.0592041015625,52.157073974609375,332.06813812255865
"Train Loss (100,<8)",472.0,-0.6716280145160223,47.54436389786453,-236.49114990234375,-15.096673011779787,-0.6306800842285152,11.954973220825195,381.5160913467407
