metric,train_size,growth_factor,test_set,run,accuracy,error_rate
cer,1.0,0.5,dev-clean,final,44.335,55.665
cer,10.0,-1.0,dev-clean,final,46.05,53.95
cer,10.0,8.0,dev-clean,final,42.72000000000001,57.27999999999999
cer,10.0,1.0,test-clean,extended,87.64249999999996,12.357500000000044
cer,10.0,1.0,ood,final,65.59070317782283,34.40929682217717
cer,1.0,-1.0,ood,final,46.67704530087892,53.32295469912108
cer,10.0,2.0,dev-clean,final,63.66499999999999,36.33500000000001
cer,100.0,-1.0,test-clean,final,87.78750000000002,12.212499999999977
cer,0.1,1.0,test-clean,final,40.32249999999999,59.67750000000001
cer,1.0,1.0,ood,final,41.107674104124456,58.892325895875544
cer,100.0,-1.0,ood,final,68.34070317782289,31.65929682217711
cer,10.0,-1.0,test-clean,final,45.915000000000006,54.084999999999994
cer,0.1,1.0,ood,final,36.02183908045981,63.97816091954019
cer,0.1,-1.0,test-clean,final,41.63999999999999,58.36000000000001
cer,0.1,2.0,test-clean,final,39.11500000000001,60.88499999999999
cer,100.0,8.0,test-clean,final,47.8975,52.1025
cer,0.1,8.0,dev-clean,final,44.42,55.58
cer,100.0,0.0,test-clean,final,93.74500000000003,6.254999999999967
cer,0.1,2.0,dev-clean,final,38.5475,61.4525
cer,0.1,2.0,ood,final,37.012474645030494,62.987525354969506
cer,0.1,-1.0,ood,final,38.26362407031787,61.73637592968213
cer,10.0,1.0,dev-clean,extended,87.31750000000002,12.682499999999976
cer,1.0,0.5,test-clean,final,44.76249999999999,55.23750000000001
cer,100.0,8.0,dev-clean,final,47.7625,52.2375
cer,100.0,0.0,dev-clean,final,93.8175,6.1825000000000045
cer,1.0,0.0,test-clean,final,50.6475,49.3525
cer,0.1,0.5,ood,final,41.268221771467225,58.731778228532775
cer,100.0,1.0,ood,final,74.94692359702508,25.053076402974924
cer,0.1,1.0,dev-clean,final,39.55250000000001,60.44749999999999
cer,0.1,0.0,ood,final,40.714503042596505,59.285496957403495
cer,0.1,8.0,test-clean,final,44.5375,55.4625
cer,10.0,0.5,test-clean,final,86.1325,13.867500000000007
cer,10.0,2.0,ood,final,53.73928329952664,46.26071670047336
cer,1.0,-1.0,dev-clean,final,47.64500000000001,52.35499999999999
cer,10.0,1.0,dev-clean,final,86.40999999999997,13.590000000000032
cer,10.0,8.0,ood,final,50.12025016903326,49.87974983096674
cer,0.1,-1.0,dev-clean,final,41.19,58.81
cer,1.0,2.0,dev-clean,final,46.00500000000001,53.99499999999999
cer,0.1,8.0,ood,final,45.56375929682212,54.43624070317788
cer,0.1,0.5,test-clean,final,41.66499999999999,58.33500000000001
cer,10.0,1.0,test-clean,final,86.88499999999998,13.115000000000023
cer,100.0,0.5,ood,final,73.70030425963478,26.299695740365223
cer,1.0,0.0,ood,final,48.17755240027051,51.82244759972949
cer,100.0,0.5,dev-clean,final,95.02749999999996,4.972500000000039
cer,10.0,-1.0,ood,final,46.132995267072445,53.867004732927555
cer,10.0,0.0,test-clean,final,84.475,15.525000000000006
cer,10.0,0.0,dev-clean,final,83.66,16.340000000000003
cer,1.0,0.0,dev-clean,final,50.1675,49.8325
cer,0.1,0.0,dev-clean,final,41.82000000000001,58.17999999999999
cer,10.0,0.0,ood,extended,61.978363759296805,38.021636240703195
cer,100.0,2.0,dev-clean,final,95.63249999999996,4.367500000000035
cer,10.0,0.0,ood,final,62.779648411088466,37.220351588911534
cer,1.0,-1.0,test-clean,final,47.5725,52.4275
cer,10.0,0.5,ood,final,64.87988505747111,35.120114942528886
cer,100.0,0.5,test-clean,final,94.855,5.144999999999996
cer,1.0,0.5,ood,final,44.04269776876272,55.95730223123728
cer,100.0,-1.0,dev-clean,final,87.91,12.090000000000003
