,accuracy__delta_abs__test,accuracy__delta_abs__test,accuracy__delta_abs__test,accuracy__delta_abs__test,accuracy__delta_abs__test,accuracy__delta_abs__test,accuracy__delta_abs__test,accuracy__delta_abs__test,accuracy__delta_rel__test,accuracy__delta_rel__test,accuracy__delta_rel__test,accuracy__delta_rel__test,accuracy__delta_rel__test,accuracy__delta_rel__test,accuracy__delta_rel__test,accuracy__delta_rel__test,accuracy__delta_abs__aug,accuracy__delta_abs__aug,accuracy__delta_abs__aug,accuracy__delta_abs__aug,accuracy__delta_abs__aug,accuracy__delta_abs__aug,accuracy__delta_abs__aug,accuracy__delta_abs__aug,accuracy__delta_rel__aug,accuracy__delta_rel__aug,accuracy__delta_rel__aug,accuracy__delta_rel__aug,accuracy__delta_rel__aug,accuracy__delta_rel__aug,accuracy__delta_rel__aug,accuracy__delta_rel__aug,accuracy__delta_abs__gen,accuracy__delta_abs__gen,accuracy__delta_abs__gen,accuracy__delta_abs__gen,accuracy__delta_abs__gen,accuracy__delta_abs__gen,accuracy__delta_abs__gen,accuracy__delta_abs__gen,accuracy__delta_rel__gen,accuracy__delta_rel__gen,accuracy__delta_rel__gen,accuracy__delta_rel__gen,accuracy__delta_rel__gen,accuracy__delta_rel__gen,accuracy__delta_rel__gen,accuracy__delta_rel__gen,error_rate__delta_abs__test,error_rate__delta_abs__test,error_rate__delta_abs__test,error_rate__delta_abs__test,error_rate__delta_abs__test,error_rate__delta_abs__test,error_rate__delta_abs__test,error_rate__delta_abs__test,error_rate__delta_rel__test,error_rate__delta_rel__test,error_rate__delta_rel__test,error_rate__delta_rel__test,error_rate__delta_rel__test,error_rate__delta_rel__test,error_rate__delta_rel__test,error_rate__delta_rel__test,error_rate__delta_abs__aug,error_rate__delta_abs__aug,error_rate__delta_abs__aug,error_rate__delta_abs__aug,error_rate__delta_abs__aug,error_rate__delta_abs__aug,error_rate__delta_abs__aug,error_rate__delta_abs__aug,error_rate__delta_rel__aug,error_rate__delta_rel__aug,error_rate__delta_rel__aug,error_rate__delta_rel__aug,error_rate__delta_rel__aug,error_rate__delta_rel__aug,error_rate__delta_rel__aug,error_rate__delta_rel__aug,error_rate__delta_abs__gen,error_rate__delta_abs__gen,error_rate__delta_abs__gen,error_rate__delta_abs__gen,error_rate__delta_abs__gen,error_rate__delta_abs__gen,error_rate__delta_abs__gen,error_rate__delta_abs__gen,error_rate__delta_rel__gen,error_rate__delta_rel__gen,error_rate__delta_rel__gen,error_rate__delta_rel__gen,error_rate__delta_rel__gen,error_rate__delta_rel__gen,error_rate__delta_rel__gen,error_rate__delta_rel__gen
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
test_set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dev-clean,9.0,3.2125000000000146,2.1437263118224767,0.07250000000004775,2.170000000000009,3.6075000000000017,4.957500000000067,5.767500000000005,9.0,0.08582349092370972,0.10824522110315957,0.0008930221099962773,0.036391078316283895,0.06106423600418881,0.07035049471742388,0.3649414431431807,9.0,3.6911111111111023,2.367882793469957,0.0,2.685000000000003,3.534999999999954,5.459999999999965,7.119999999999997,9.0,0.10498690343798905,0.12387460300603322,0.0,0.06011752761283596,0.06719379749561534,0.09519111149242808,0.42300118156754696,9.0,-0.008611111111104068,0.6140759204781747,-0.9300000000000068,-0.3149999999999995,0.07250000000004775,0.5200000000000244,0.7550000000000097,9.0,-0.008016594928300437,0.018755046123145953,-0.040492957746478826,-0.014825442372070884,0.0008930221099962773,0.006032657559674291,0.011679622539351196,9.0,-3.212500000000013,2.143726311822478,-5.767500000000005,-4.957500000000067,-3.6075000000000017,-2.170000000000009,-0.07250000000004775,9.0,-0.12017829384602471,0.11036993183759274,-0.294047302684029,-0.1917353175657718,-0.1039137973742875,-0.025861376596257247,-0.0020881856878964817,9.0,-3.6911111111111023,2.367882793469957,-7.119999999999997,-5.459999999999965,-3.534999999999954,-2.6850000000000023,0.0,9.0,-0.12913754428529547,0.10785246001661912,-0.2913165266106427,-0.1886087768440687,-0.1329618311462635,-0.028669816609273667,0.0,9.0,0.008611111111103279,0.6140759204781743,-0.7550000000000097,-0.5200000000000244,-0.07250000000004775,0.3149999999999977,0.9300000000000068,9.0,-0.0076941734191384075,0.0236614556400891,-0.03767433435971911,-0.02411971830986223,-0.0038533085304303825,0.003474807644576793,0.02495304534478152
ood,1.0,0.8092072346179471,,0.8092072346179471,0.8092072346179471,0.8092072346179471,0.8092072346179471,0.8092072346179471,1.0,0.12228292174052843,,0.12228292174052843,0.12228292174052843,0.12228292174052843,0.12228292174052843,0.12228292174052843,1.0,2.274814063556385,,2.274814063556385,2.274814063556385,2.274814063556385,2.274814063556385,2.274814063556385,1.0,0.4415491525201119,,0.4415491525201119,0.4415491525201119,0.4415491525201119,0.4415491525201119,0.4415491525201119,1.0,-1.9207927653820516,,-1.9207927653820516,-1.9207927653820516,-1.9207927653820516,-1.9207927653820516,-1.9207927653820516,1.0,-0.2054873244591657,,-0.2054873244591657,-0.2054873244591657,-0.2054873244591657,-0.2054873244591657,-0.2054873244591657,1.0,-0.8092072346179435,,-0.8092072346179435,-0.8092072346179435,-0.8092072346179435,-0.8092072346179435,-0.8092072346179435,1.0,-0.008665512645495073,,-0.008665512645495073,-0.008665512645495073,-0.008665512645495073,-0.008665512645495073,-0.008665512645495073,1.0,-2.2748140635563914,,-2.2748140635563914,-2.2748140635563914,-2.2748140635563914,-2.2748140635563914,-2.2748140635563914,1.0,-0.023983758238412606,,-0.023983758238412606,-0.023983758238412606,-0.023983758238412606,-0.023983758238412606,-0.023983758238412606,1.0,1.9207927653820462,,1.9207927653820462,1.9207927653820462,1.9207927653820462,1.9207927653820462,1.9207927653820462,1.0,0.021188525031102797,,0.021188525031102797,0.021188525031102797,0.021188525031102797,0.021188525031102797,0.021188525031102797
test-clean,10.0,3.048750000000007,2.2155013384233286,0.08999999999999897,1.0443749999999983,3.062500000000032,4.913124999999997,6.252500000000005,10.0,0.09211171937082893,0.11579803356676148,0.013600302228938262,0.040942246954080254,0.05929358871712764,0.08127321051914319,0.41254250094446515,10.0,3.048750000000007,2.2155013384233286,0.08999999999999897,1.0443749999999983,3.062500000000032,4.913124999999997,6.252500000000005,10.0,0.09211171937082893,0.11579803356676148,0.013600302228938262,0.040942246954080254,0.05929358871712764,0.08127321051914319,0.41254250094446515,10.0,0.12400000000000092,0.3921224298608819,0.0,0.0,0.0,0.0,1.240000000000009,10.0,0.0019182426422245566,0.006066015854289081,0.0,0.0,0.0,0.0,0.019182426422245567,10.0,-3.048750000000003,2.2155013384233335,-6.252500000000005,-4.913124999999997,-3.062500000000032,-1.044374999999988,-0.0899999999999892,10.0,-0.10654613112708858,0.09980686491434049,-0.26640977943130384,-0.1593019477815871,-0.10047683923705737,-0.01118384065536892,-0.0009637780097982942,10.0,-3.048750000000003,2.2155013384233335,-6.252500000000005,-4.913124999999997,-3.062500000000032,-1.044374999999988,-0.0899999999999892,10.0,-0.10654613112708858,0.09980686491434049,-0.26640977943130384,-0.1593019477815871,-0.10047683923705737,-0.01118384065536892,-0.0009637780097982942,10.0,-0.12400000000000092,0.3921224298608819,-1.240000000000009,0.0,0.0,0.0,0.0,10.0,-0.0035070352824719195,0.011090219327183253,-0.035070352824719195,0.0,0.0,0.0,0.0
